Date,Open,High,Low,Close,Volume,Adj Close
2014-02-14,542.46997,545.97998,541.20996,543.98999,68231100,76.26572
2014-02-13,534.65997,544.84998,534.20007,544.42999,76849500,76.3274
2014-02-12,536.94995,539.56,533.23999,535.91998,77025200,75.13432
2014-02-11,530.60999,537.75,529.50,535.95996,70564200,75.13993
2014-02-10,518.66003,531.98999,518.00,528.98999,86389800,74.16277
2014-02-07,521.38,522.93005,517.38,519.67999,92570100,72.85753
2014-02-06,510.05994,513.50,507.81003,512.51001,64441300,71.85232
2014-02-05,506.55994,515.27997,506.25,512.58997,82086200,71.43594
2014-02-04,505.85004,509.45999,502.76001,508.79001,94170300,70.90636
2014-02-03,502.61002,507.73001,499.29999,501.52997,100366000,69.89458
2014-01-31,495.17999,501.52997,493.54999,500.60004,116199300,69.76498
2014-01-30,502.53998,506.49997,496.69995,499.77997,169625400,69.6507
2014-01-29,503.95001,507.37,498.62,500.75,125702500,69.78588
2014-01-28,508.76001,515.00,502.07001,506.49997,266380800,70.58721
2014-01-27,550.07001,554.79999,545.75,550.50,138719700,76.71918
2014-01-24,554.00,555.62006,544.75,546.07001,107338700,76.1018
2014-01-23,549.94,556.50,544.81,556.18005,100809800,77.51077
2014-01-22,550.91003,557.29004,547.81,551.51001,94996300,76.85993
2014-01-21,540.98999,550.07001,540.41998,549.06995,82131700,76.51988
2014-01-17,551.48004,552.07001,539.90002,540.66998,106684900,75.34924
2014-01-16,554.90002,556.85004,551.68005,554.25,57319500,77.24179
2014-01-15,553.52002,560.20001,551.65997,557.36005,97909700,77.67521
2014-01-14,538.22003,546.72998,537.65997,546.38995,83140400,76.14639
2014-01-13,529.91003,542.50,529.88,535.73004,94623200,74.66079
2014-01-10,539.82996,540.79999,531.11005,532.94006,76244000,74.27197
2014-01-09,546.80005,546.86005,535.34998,536.52002,69787200,74.77088
2014-01-08,538.81006,545.56,538.69,543.45996,64632400,75.73806
2014-01-07,544.32001,545.96008,537.91998,540.03998,79302300,75.26144
2014-01-06,537.45001,546.80005,533.59998,543.93005,103152700,75.80357
2014-01-03,552.86005,553.70001,540.43005,540.98004,98116900,75.39245
2014-01-02,555.67999,557.02997,552.02002,553.13,58671200,77.0857
